SchoolID,School,District,DistID
249,Pilot Butte Middle School,Bend-LaPine Administrative SD 1,1976
250,Buckingham Elementary School,Bend-LaPine Administrative SD 1,1976
251,Bend Senior High School,Bend-LaPine Administrative SD 1,1976
252,Mountain View Senior High School,Bend-LaPine Administrative SD 1,1976
253,LaPine Senior High School,Bend-LaPine Administrative SD 1,1976
256,Sage Elementary School,Redmond SD 2J,1977
258,John Tuck Elementary School,Redmond SD 2J,1977
259,M A Lynch Elementary School,Redmond SD 2J,1977
260,Terrebonne Community School,Redmond SD 2J,1977
261,Tumalo Community School,Redmond SD 2J,1977
262,Obsidian Middle School,Redmond SD 2J,1977
263,Redmond High School,Redmond SD 2J,1977
264,Sisters Elementary School,Sisters SD 6,1978
266,Lincoln Middle School,Oakland SD 1,1990
267,Oakland Elementary School,Oakland SD 1,1990
268,Oakland High School,Oakland SD 1,1990
269,Eastwood Elementary School,Douglas County SD 4,1991
270,Fir Grove Elementary School,Douglas County SD 4,1991
271,Fullerton IV Elementary School,Douglas County SD 4,1991
272,Green Elementary School,Douglas County SD 4,1991
273,Hucrest Elementary School,Douglas County SD 4,1991
274,Melrose Elementary School,Douglas County SD 4,1991
276,Sunnyslope Elementary School,Douglas County SD 4,1991
277,Winchester Elementary,Douglas County SD 4,1991
278,John C Fremont Middle School,Douglas County SD 4,1991
279,Joseph Lane Middle School,Douglas County SD 4,1991
280,Roseburg High School,Douglas County SD 4,1991
282,Glide Elementary School,Glide SD 12,1992
284,Glide Middle School,Glide SD 12,1992
285,Glide High School,Glide SD 12,1992
289,Canyonville School,South Umpqua SD 19,1994
290,Myrtle Creek Elementary School,South Umpqua SD 19,1994
291,Coffenberry Middle School,South Umpqua SD 19,1994
292,Tri City Elementary School,South Umpqua SD 19,1994
293,South Umpqua High School,South Umpqua SD 19,1994
296,North Douglas Elementary School,North Douglas SD 22,1996
297,North Douglas High School,North Douglas SD 22,1996
299,Yoncalla Elementary School,Yoncalla SD 32,1997
300,Yoncalla High School,Yoncalla SD 32,1997
302,Elkton Charter School,Elkton SD 34,1998
304,Riddle Elementary School,Riddle SD 70,1999
305,Riddle High School,Riddle SD 70,1999
306,Glendale Elementary School,Glendale SD 77,2000
307,Glendale Community Charter School,Glendale SD 77,2000
309,Highland Elementary School,Reedsport SD 105,2001
310,Reedsport Community Charter School,Reedsport SD 105,2001
311,McGovern Elementary School,Winston-Dillard SD 116,2002
313,Lookingglass Elementary School,Winston-Dillard SD 116,2002
315,Winston Middle School,Winston-Dillard SD 116,2002
316,Douglas High School,Winston-Dillard SD 116,2002
318,East Sutherlin Primary School,Sutherlin SD 130,2003
319,Sutherlin Middle School,Sutherlin SD 130,2003
320,West Sutherlin Intermediate,Sutherlin SD 130,2003
321,Sutherlin High School,Sutherlin SD 130,2003
323,Arlington Community Charter School,Arlington SD 3,2005
325,Condon Elementary School,Condon SD 25J,2006
326,Condon High School,Condon SD 25J,2006
327,Humbolt Elementary School,John Day SD 3,2008
330,Seneca Elementary School,John Day SD 3,2008
331,Grant Union Junior/Senior High School,John Day SD 3,2008
342,Henry L Slater Elementary School,Harney County SD 3,2014
346,Crane Elementary School,Harney County SD 4,2015
347,Pine Creek Elementary School,Pine Creek SD 5,2016
348,Diamond Elementary School,Diamond SD 7,2017
349,Suntex Elementary School,Suntex SD 10,2018
350,Drewsey Elementary School,Drewsey SD 13,2019
351,Frenchglen Elementary School,Frenchglen SD 16,2020
352,Double O Elementary School,Double O SD 28,2021
355,Hines Middle School,Harney County SD 3,2014
357,Fields Elementary School,South Harney SD 33,2022
358,Crane Union High School,Harney County Union High SD 1J,2023
359,Burns High School,Harney County SD 3,2014
361,Hood River Middle School,Hood River County SD,2024
362,May Street Elementary School,Hood River County SD,2024
363,Mid Valley Elementary School,Hood River County SD,2024
364,Parkdale Elementary School,Hood River County SD,2024
366,Westside Elementary School,Hood River County SD,2024
367,WyEast Middle School,Hood River County SD,2024
369,Hood River Valley High School,Hood River County SD,2024
370,Orchard Hill Elementary School,Phoenix-Talent SD 4,2039
371,Phoenix Elementary School,Phoenix-Talent SD 4,2039
372,Talent Elementary School,Phoenix-Talent SD 4,2039
373,Talent Middle School,Phoenix-Talent SD 4,2039
374,Phoenix High School,Phoenix-Talent SD 4,2039
375,Bellview Elementary School,Ashland SD 5,2041
377,Helman Elementary School,Ashland SD 5,2041
379,Walker Elementary School,Ashland SD 5,2041
380,Ashland Middle School,Ashland SD 5,2041
381,Ashland High School,Ashland SD 5,2041
382,Central Point Elementary School,Central Point SD 6,2042
383,Jewett Elementary School,Central Point SD 6,2042
384,Patrick Elementary School,Central Point SD 6,2042
385,Richardson Elementary School,Central Point SD 6,2042
386,Sams Valley Elementary School,Central Point SD 6,2042
387,Hanby Middle School,Central Point SD 6,2042
388,Scenic Middle School,Central Point SD 6,2042
390,Hillside Elementary,Eagle Point SD 9,2043
393,Shady Cove School,Eagle Point SD 9,2043
394,Table Rock Elementary,Eagle Point SD 9,2043
396,Eagle Point Middle School,Eagle Point SD 9,2043
397,Eagle Point High School,Eagle Point SD 9,2043
399,Rogue River Elementary School,Rogue River SD 35,2044
401,Rogue River Junior/Senior High,Rogue River SD 35,2044
402,Applegate Elementary School,Three Rivers/Josephine County SD,2055
406,Butte Falls Charter School,Butte Falls SD 91,2046
407,Pinehurst Elementary School,Pinehurst SD 94,2047
408,Griffin Creek Elementary School,Medford SD 549C,2048
409,Hoover Elementary School,Medford SD 549C,2048
410,Howard Elementary School,Medford SD 549C,2048
411,Jackson Elementary School,Medford SD 549C,2048
412,Jacksonville Elementary School,Medford SD 549C,2048
413,Jefferson Elementary School,Medford SD 549C,2048
414,Lone Pine Elementary School,Medford SD 549C,2048
415,Oak Grove Elementary School,Medford SD 549C,2048
416,Kennedy Elementary School,Medford SD 549C,2048
417,Roosevelt Elementary School,Medford SD 549C,2048
418,Ruch Elementary School,Medford SD 549C,2048
419,Washington Elementary School,Medford SD 549C,2048
420,Wilson Elementary School,Medford SD 549C,2048
421,Hedrick Middle School,Medford SD 549C,2048
422,McLoughlin Middle School,Medford SD 549C,2048
423,South Medford High School,Medford SD 549C,2048
424,North Medford High School,Medford SD 549C,2048
425,Culver Elementary School,Culver SD 4,2050
426,Culver High School,Culver SD 4,2050
427,Ashwood Elementary School,Ashwood SD 8,2051
428,Black Butte Elementary School,Black Butte SD 41,2052
429,Buff Intermediate School,Jefferson County SD 509J,2053
430,Madras Primary School,Jefferson County SD 509J,2053
431,Metolius Elementary School,Jefferson County SD 509J,2053
432,Warm Springs K-8 Academy,Jefferson County SD 509J,2053
434,Madras High School,Jefferson County SD 509J,2053
435,Allen Dale Elementary School,Grants Pass SD 7,2054
436,Highland Elementary School,Grants Pass SD 7,2054
437,Lincoln Elementary School,Grants Pass SD 7,2054
438,North Middle School,Grants Pass SD 7,2054
439,Redwood Elementary School,Grants Pass SD 7,2054
440,Riverside Elementary School,Grants Pass SD 7,2054
441,South Middle School,Grants Pass SD 7,2054
442,Grants Pass High School,Grants Pass SD 7,2054
443,Evergreen Elementary School,Three Rivers/Josephine County SD,2055
444,Fleming Middle School,Three Rivers/Josephine County SD,2055
445,Fruitdale Elementary School,Three Rivers/Josephine County SD,2055
446,Ft Vannoy Elementary School,Three Rivers/Josephine County SD,2055
448,Lincoln Savage Middle School,Three Rivers/Josephine County SD,2055
449,Lorna Byrne Middle School,Three Rivers/Josephine County SD,2055
450,Madrona Elementary School,Three Rivers/Josephine County SD,2055
451,Manzanita Elementary School,Three Rivers/Josephine County SD,2055
453,Williams Elementary School,Three Rivers/Josephine County SD,2055
455,Hidden Valley High School,Three Rivers/Josephine County SD,2055
456,Illinois Valley High School,Three Rivers/Josephine County SD,2055
457,North Valley High School,Three Rivers/Josephine County SD,2055
459,Joseph Conger Elementary School,Klamath Falls City Schools,2056
